category,localite,piece,chambres,area,price,monthly,description,Diagnostic de performance énergétique(kWhEP/m².an),Indice d'émission de gaz à effet de serre(kgeqCO2/m².an),plus,type
Maison / Villa,"Quartier <!-- -->Le Lac-Briques Rouges<!-- -->, <!-- -->Vigneux-sur-Seine",5 pièces,116 m²,5 pièces,349 500 €,1 449 €,"style=""max-height: 66px;""><p>Belle maison en sous/bassement meulière très bien entretenue de 105m² (145m² de surface utile ! Élevée sur un terrain de 553m² clos, elle dispose en plus d'une dépendance en fond de parcelle d'environ 38m². Son agencement atypique lui confère tout son charme, découvrez sa cuisine dînatoire équipée avec accès à une grande terrasse, séjour en L de 31 m² (cheminée), chambre en rez-de-chaussée avec WC. A l'étage, 2 chambres mansardées, mezzanine avec rangements, salle de bains avec WC.. Sous/sol de 75m² composé d'une buanderie, chaufferie (chauffage au gaz), garage, bureau.. Un vrai coup de coeur à visiter près du lac ! 349500 euros Honoraires à la charge du vendeur.</p><butto",150.0,35.0,"['1 Terrasse', 'Cheminée', 'Surface de 105m²', '5 Pièces', '3 Chambres', '1 Salle de bain', '1 Toilette', 'Rangements', 'Chauffage individuel', 'Salle de séjour : 31,25m²', 'Terrain de 553m²']",Acheter
Maison / Villa,"Quartier <!-- -->Centre Ville<!-- -->, <!-- -->Clermont-l'Hérault",8 pièces,160 m²,4 pièces,335 000 €,1 389 €,"style=""max-height: 66px;""><p>Idéalement situé entre Clermont l'Hérault et Lodève, proche du lac du Salagou, Espace Immo vous invite à découvrir cet ensemble immobilier de plain-pied, d'une surface habitable de 100m² et 82m² sur un magnifique terrain arboré de pins d'une surface de 1875m². Se compose pour l'habitation principale: d'une cuisine équipée, salon cheminée insert, véranda, 2 chambres, 1 bureau, 2wc, 2 salle d'eau, et pour l'annexe, 1 cuisine équipée, salon donnant sur une grande terrasse, 2 chambres, 1 bureau 1 salle d'eau, 1 WC. Le tout au calme, sans vis-à-vis. Idéal projet d'accueil.! Pour visiter.</p><butto",,,"['1 Terrasse', 'Cheminée', 'Surface de 185m²', '5 Pièces', '4 Chambres', 'Année de construction 1976', ""3 Salles d'eau"", '3 Toilettes', 'Cuisine séparée équipée', 'Salle de séjour : 50m²', 'Terrain de 1875m²', '6 Parkings', 'Calme']",Acheter
Maison / Villa,"Quartier <!-- -->Vinaigrier<!-- -->, <!-- -->Nice",7 pièces,230 m²,7 pièces,2 490 000 €,10 270 €,"style=""max-height: 66px;""><p>Superbe Villa dans les hauteurs de Nice/Villefranche sur mer</p><p>au calme, dans un secteur retiré, magnifique demeure sur un terrain plat, avec sa piscine, salle de sport et son cours de tennis privé. Garage</p><p>atypique la villa est composé d'un étage, de 155m² comprenant 3 chambres, 2 salles de bain, au rez-de-chaussée d'un appartement de 65m² de 3 pièces (il est possible de réunir les deux niveaux.</p><p>Ensuite pour parfaire le tout, une maison de 90m² 3 pièces sur 2 niveaux fait également partie de l'ensemble.</p><p>A voir très vite !!</p><butto",99.0,19.0,"['Orientation Sud', '1 Balcon', 'Vue', 'Piscine', 'Surface de 220m²', 'Bâtiment de 1 étage', '5 Pièces', '5 Chambres', '3 Salles de bain', '2 Toilettes', 'Toilette séparée', 'Rangements', 'Télévision', 'Chauffage central fuel', 'Cuisine séparée', 'Une entrée', 'Terrain de 3300m²', 'Alarme', 'Calme', 'contemporain']",Acheter
Maison / Villa,"Quartier <!-- -->Sud<!-- -->, <!-- -->Gouvieux",7 pièces,115 m²,5 pièces,356 000 €,1 476 €,"style=""max-height: 66px;""><p>A découvrir à 5km de Gouvieux, maison ancienne en pierres du XIX ème. En entrant, grande cuisine équipée récente, salon avec cheminée et très beau salon spacieux de 40 m² avec pierres et poutres. A l'étage 3 chambres en enfilade et une salle d'eau. 2 caves dont une cave voûtée. Toiture récente, fenêtres PVC double vitrage, chauffage au gaz, A 12min en voiture de la gare de chantilly, écoles maternelle et primaires sur place. Vous souhaitez organiser une visite, contactez-nous au: ou bien retrouvez nous dans notre agence 5ème Avenue Immobilier de Chantilly, au 120 rue du Connetable.Nous vous proposons des biens a vendre sur Chantilly, Gouvieux, Lamorlaye et les villes environnantes.Tous nos biens sur.</p><butto",,,"['Cheminée', 'Surface de 130m²', 'Bâtiment de 1 étage', '5 Pièces', '3 Chambres', ""1 Salle d'eau"", 'Chauffage individuel gaz radiateur', 'Cuisine séparée équipée', 'Salle de séjour : 63m²', 'Terrain de 753m²']",Acheter
Maison / Villa,"Quartier <!-- -->Centre Ville<!-- -->, <!-- -->Plaisir",5 pièces,102 m²,4 pièces,388 500 €,1 610 €,"style=""max-height: 66px;""><p>MAISON INDIVIDUELLE DE 6 PIÈCES A VENDRE A PLAISIR - CENTRE VILLE - Dans un quartier très recherché, à 2 pas de toutes les commodités: écoles, commerces, bus. Maison de 6 pièces comprenant entrée avec placard, cuisine équipée, séjour double, 3 chambres parquetées dont une suite parentale avec salle de bain, salle de douche, 2 WC. Combles aménagés en une chambre avec dressing. Jardin avec belle terrasse, Garage attenant. A visiter sans tarder ! Réf: parking 242 Prix HAI: 388 500 E 5% d'honoraires à la charge de l'acquéreur Prix net vendeur: 370 000 E.</p><butto",214.0,11.0,"['1 Terrasse', 'Surface de 102m²', '6 Pièces', '4 Chambres', 'Année de construction 1986', '1 Salle de bain', ""1 Salle d'eau"", '2 Toilettes', 'Toilette séparée', 'Parquet', 'Rangements', 'Chauffage électrique radiateur', 'Cuisine équipée', 'Une entrée', 'Salle de séjour : 29m²', 'Terrain de 259m²', 'Orientation Nord']",Acheter
Maison / Villa,"Quartier <!-- -->Centre Ville<!-- -->, <!-- -->Étampes",4 pièces,115 m²,6 pièces,265 000 €,1 101 €,"style=""max-height: 66px;""><p>L'agence Century 21 CI Conseils vous propose de découvrir en exclusivité dans la commune de Brières-les-scellés une maison atypique conçue par un architecte, la rendant agréable et confortable. La maison vous accueille par une entrée individuelle disposant d'un placard intégré, vous donne l'accès à une magnifique pièce de vie ouverte sur un jardin clos exposé plein Sud disposant d'une cheminée avec insert, une cuisine indépendante aménagée et équipée. Un escalier central vous donne l'accès à l'étage composé d'un palier, une chambre, un bureau ou petite chambre et salle de bains, quelques marches vous donnent accès au 2ème étage disposant de deux chambres, placards et une salle d'eau avec WC. La maison dispose d'un garage pouvant accueillir une voiture et espace atelier, une double porte permet de rentrer plusieurs voitures à l'arrière de la maison. Idéalement située au calme, proche écoles et transports. Prix: 265000.0 euros, Honoraires charge vendeur.</p><butto",,,"['Orientation Sud', 'Cheminée', 'Surface de 114,09m²', '5 Pièces', '3 Chambres', 'Année de construction 1988', '1 Salle de bain', ""1 Salle d'eau"", '2 Toilettes', 'Rangements', 'Cuisine séparée', 'Une entrée', 'Salle de séjour : 30m²', 'Terrain de 314m²', '4 Parkings', 'Calme']",Acheter
Maison / Villa,"Quartier <!-- -->Bonneville<!-- -->, <!-- -->Méry-sur-Oise",6 pièces,240 m²,6 pièces,510 000 €,2 111 €,"style=""max-height: 66px;""><p>Cette spacieuse maison saura vous séduire par ses superficies et ses atouts qui comprennent: une entrée, un séjour avec cheminée, une cuisine équipée, trois chambres, salle de bains et deux WC au rez-de-chaussée. A l'étage deux très grandes chambres et des possibilités d'aménagement. Le tout édifié sur un terrain de 1100 m² et un sous-sol total. Idéal pour les familles nombreuses ou si vous êtes à la recherche d'une belle superficie.</p><butto",203.0,13.0,"['Orientation Sud-Ouest', 'Surface de 200m²', '9 Pièces', '5 Chambres', '1 Salle de bain', '2 Toilettes', 'Toilette séparée', 'Chauffage individuel', 'Cuisine aucune', 'Une entrée', 'Salle de séjour', 'Terrain de 1096m²', 'Orientation Ouest']",Acheter
Maison / Villa,"Quartier <!-- -->Nord<!-- -->, <!-- -->Thorigny-sur-Marne",5 pièces,120 m²,6 pièces,349 000 €,1 447 €,"style=""max-height: 66px;""><p>Iad France - Axel DUVERGER vous propose: ** AU PLUS RAPIDE **</p><p>EXCLUSIVITÉ</p><p>Limite Pomponne</p><p>Belle maison situé à seulement 7 min à pied de la gare, dans une rue calme, elle se compose d'un sous-sol total avec garage, chaufferie et pièce de rangement. Au rez-de-chaussée une entrée, un spacieux séjour, une cuisine, une salle de bain, un WC et une chambre. A l'étage 4 chambres.</p><p>Le tout édifié sur une parcelle de 617 m² environ.</p><p>RAFRAÎCHISSEMENT A PRÉVOIR</p><p>gros potentiel pour bricoleur</p><p>Honoraires d'agence à la charge du vendeur. Information d'affichage énergétique sur ce bien: DPE VI indice 0 et GES VI indice 0. La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de M. Axel DUVERGER (ID 20861), Agent Commercial mandataire en immobilier immatriculé au Registre Spécial des Agents Commerciaux (RSAC) du Tribunal de Commerce de BOBIGNY sous le numéro 823359641.</p><butto",,,"['Surface de 130m²', '6 Pièces', '5 Chambres', 'Année de construction 1966', '1 Salle de bain', '1 Toilette', 'Toilette séparée', 'Rangements', 'Chauffage gaz radiateur', 'Cuisine séparée', 'Une entrée', 'Salle de séjour : 30m²', 'Terrain de 617m²', '1 Box', 'Calme']",Acheter
Appartement,Font-Romeu-Odeillo-Via,3 pièces,57 m²,3 pièces,130 000 €,545 €,"style=""max-height: 66px;""><p>Un appartement de type 3 pièces situé dans un petit collectif, comprenant: Hall d'entrée - Coin cuisine - Salon/Séjour - Deux chambres avec rangements - WC indépendant - Salle de bains - Balcon Sud. Au rez-de-chaussée, un garage individuel fermé. Vendu Vide. Copropriété de 8 lots (Pas de procédure en cours). Charges annuelles: 1175.00 euros.</p><butto",,,"['Orientation Sud', '1 Balcon', 'Surface de 60m²', 'Bâtiment de 2 étages', '3 Pièces', '2 Chambres', 'Au 1er étage', '1 Salle de bain', '1 Toilette', 'Rangements', 'Chauffage individuel électrique', 'Cuisine américaine', 'Une entrée', 'Salle de séjour', '1 Box']",Acheter
Maison / Villa,Bolquère,5 pièces,108 m²,2 pièces,267 000 €,1 109 €,"style=""max-height: 66px;""><p>Proche des pistes et des commerces, ce chalet est situé dans un quartier résidentiel. Au 1er étage, un appartement de type T3, totalement rénové, comprenant un séjour/salon avec cheminée, 1 cuisine, 2 chambres, 1 salle de bains et 1 WC indépendant. Chauffage au fuel et cheminée, Exposition sud-est, jardin clôturé sur 3 faces, garage. Au rez-de-chaussée, un appartement de type T2 qui peut être totalement indépendant comprenant séjour/salon avec coin cuisine, 1 chambre, 1 WC, 1 salle d'eau.</p><butto",291.0,79.0,"['1 Balcon', 'Cheminée', 'Surface de 100m²', '5 Pièces', '4 Chambres', '2 Salles de bain', ""1 Salle d'eau"", '2 Toilettes', 'Chauffage individuel radiateur', 'Cuisine équipée', 'Salle de séjour', 'Terrain de 400m²']",Acheter
Maison / Villa,Miserey-Salines,5 pièces,145 m²,7 pièces,345 000 €,1 431 €,"style=""max-height: 66px;""><p>Réf 5621. Exclusivité, commune de Miserey-Salines, belle maison en pierre, de plain-pied, un hall d'entrée, WC séparé, une cuisine ouverte sur terrasse plein sud, vaste salon séjour lumineux avec cheminée ouverte, cellier, buanderie, garage deux voitures, à l'étage, quatre chambres, deux salles d'eau, WC séparé, cave en sous-sol, grenier aménageable, superbe piscine chauffée 9x4.5 avec volet électrique, une dépendance, taxe foncière 871 euros, chauffage au gaz de ville, proche commerces et écoles à pied, aucun vis-à-vis, vue panoramique, le charme de cette maison ancienne vous surprendra. Agent commercial indépendant</p><p>Retrouvez-nous sur: Contactez Philippe BOZON.</p><butto",,,"['Orientation Sud', '1 Terrasse', 'Vue', 'Piscine', 'Cheminée', 'Surface de 170m²', 'Bâtiment de 1 étage', '6 Pièces', '4 Chambres', 'Année de construction 1750', ""2 Salles d'eau"", '2 Toilettes', 'Chauffage individuel gaz', 'Cuisine coin cuisine équipé', 'Une entrée', 'Salle de séjour', 'Terrain de 1067m²', '2 Parkings']",Acheter
